Model,Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Inference Time (s),Model Size (KB)
GradientBoosting,0.8086172344689379,0.8230277185501066,0.7813765182186235,0.8016614745586709,386,83,421,108,0.0019807815551757812,256.1953125
XGBoost,0.811623246492986,0.8445945945945946,0.7591093117408907,0.7995735607675906,375,69,435,119,0.0018084049224853516,183.7900390625
RandomForest,0.8096192384769539,0.8362831858407079,0.7651821862348178,0.7991543340380549,378,74,430,116,0.0019481182098388672,332.4931640625
HistGradientBoosting,0.8076152304609219,0.8431818181818181,0.7510121457489879,0.7944325481798715,371,69,435,123,0.0063457489013671875,344.71875
ExtraTrees,0.7965931863727455,0.8540145985401459,0.7105263157894737,0.7756906077348066,351,60,444,143,0.0014567375183105469,505.7744140625
CatBoost,0.7755511022044088,0.7721774193548387,0.7753036437246964,0.7737373737373737,383,113,391,111,0.002012491226196289,226.4150390625
DecisionTree,0.7885771543086172,0.8313817330210773,0.7186234817813765,0.7709011943539631,355,72,432,139,0.0004792213439941406,21.0244140625
AdaBoost,0.7535070140280561,0.7322097378277154,0.791497975708502,0.7607003891050583,391,143,361,103,0.027276992797851562,314.34765625
LogisticRegression,0.5691382765531062,0.5367816091954023,0.9453441295546559,0.6847507331378299,467,403,101,27,0.0004143714904785156,1.3271484375
